shapeID,shapeName,mapping_method,geographic_grid_cells,elevation_mean_m,elevation_max_m,terrain_relief_mean_m,terrain_relief_max_m,slope_mean_degrees,slope_max_degrees,distance_to_coast_min_km,distance_to_coast_mean_km,coastal_fraction_25km,coastal_fraction_50km,coastal_fraction_75km,coastal_fraction_100km,coastal_fraction_150km,orographic_cell_fraction,coastal_orographic_fraction,dominant_geographic_regime_code,coastal_district_75km,orographic_district,dominant_geographic_regime
76128533B10270619600482,South District,nearest_grid,1,1310.07,3123.0,1812.93,1812.93,1.6575863,1.6575863,446.2396,446.2396,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B10727492375508,Fatehabad,contained_grid,4,217.16833,228.0,6.581665,7.3155518,0.015503442,0.015959417,830.49304,847.4886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B1083016608278,Gulbarga,contained_grid,15,468.50488,665.0,96.22845,163.9989,0.10418581,0.20681582,305.99554,349.3448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B11082155919544,Rajsamand,contained_grid,7,593.13763,1141.0,245.71951,442.37555,0.23316458,0.37287942,282.4433,325.50018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B11083100419963,Mahoba,contained_grid,4,181.08028,281.0,51.41972,71.178894,0.08791621,0.099558026,736.6551,764.9773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B11403491783632,Tirupathur,contained_grid,3,514.4937,1188.0,520.83966,612.9722,0.2085455,0.2771821,131.91225,143.80316,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,2,False,True,Interior orographic
76128533B11421856387892,Tamenglong,contained_grid,4,911.19025,2466.0,1115.3098,1232.6711,0.65865564,1.0787985,267.8879,309.12213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B11651252780045,Dibang Valley,contained_grid,13,2920.7668,5126.0,1379.3103,1980.6855,1.4613525,2.433194,719.0794,769.9844,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B11802210119774,Sirmaur,contained_grid,5,1012.596,3457.0,1130.804,1600.3422,1.5030591,1.8253928,996.6502,1015.2751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B12079567451207,Dungarpur,contained_grid,5,229.2631,452.0,97.73689,147.23221,0.14586377,0.2370711,157.95128,175.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B12129983841645,Kra Daadi,contained_grid,4,1912.5209,4651.0,1530.9791,2076.6255,1.2332478,2.1425257,548.8624,574.3417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B12144400448811,Kondagaon,contained_grid,8,612.9146,830.0,136.58542,246.27441,0.09146412,0.1987363,243.56305,268.76562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
