shapeID,shapeName,date,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
76128533B38354309367879,Adilabad,2018-07-27,contained_grid,1.02,1.11,0.050250001,0.1125,0.00015915676,0.00019152476,2.17465e-05,5,Low Modelled Signal,False,1.02,0.0,0.0,0.0,0.0,-1.02,-1.02
76128533B29721759389119,Agar,2018-07-27,contained_grid,2.0840001,2.6599998,0.067500003,0.1525,0.00031483345,0.00056588161,7.0084119e-05,5,Low Modelled Signal,False,2.0840001,0.0,0.0,0.0,0.0,-2.0840001,-2.0840001
76128533B26296891809198,Agra,2018-07-27,contained_grid,18.973335,28.180002,7.8116665,15.8075,0.031763513,0.047319721,0.00043036882,3,Low Modelled Signal,False,18.973335,13.578927,22.785595,13.563407,22.770073,-5.4099283,-5.3944082
76128533B93113981386565,Ahmadabad,2018-07-27,contained_grid,1.3125,2.1499999,0.37562498,1.39,0.00076917117,0.0012012478,2.9250064e-05,8,Low Modelled Signal,False,1.3125,0.0,0.0,0.0,0.0,-1.3125,-1.3125
76128533B47816398970283,Ahmadnagar,2018-07-27,contained_grid,1.1742857,7.29,0.76613092,2.9950001,0.00039102643,0.0043081297,0.00057624839,21,Low Modelled Signal,False,1.1742857,0.090266295,1.8955922,0.08952722,1.8800716,-1.0847584,-1.0840193
76128533B34203923268864,Aizawl,2018-07-27,contained_grid,20.094,22.68,2.9932499,5.9474998,0.0078252759,0.012026477,0.0006744868,5,Low Modelled Signal,False,20.094,14.699593,17.285593,14.684072,17.270073,-5.4099283,-5.3944073
76128533B60180372390230,Ajmer,2018-07-27,contained_grid,0.50400001,3.4099998,0.09708333,0.80999994,0.0020659515,0.010519052,0.0005262529,15,Low Modelled Signal,False,0.50400001,0.0,0.0,0.0,0.0,-0.50400001,-0.50400001
76128533B12380735325851,Akola,2018-07-27,contained_grid,2.7533333,3.32,0.0,0.0,0.00022376509,0.00024784214,7.7596822e-05,6,Low Modelled Signal,False,2.7533333,0.0,0.0,0.0,0.0,-2.7533333,-2.7533333
76128533B86368264587575,Alappuzha,2018-07-27,contained_grid,6.08,6.4800005,0.44375002,0.77500004,0.00073324121,0.00077325874,0.00016082419,2,Low Modelled Signal,False,6.08,0.68559241,1.0855927,0.67007184,1.0700722,-5.4099283,-5.3944073
76128533B60862799554879,Aligarh,2018-07-27,contained_grid,3.4966667,6.29,22.192083,46.179996,0.0038852144,0.0088669369,0.00022569385,6,Low Modelled Signal,False,3.4966667,0.2501975,0.89559221,0.24502397,0.88007164,-3.2516427,-3.2464693
76128533B23858286755005,Alipurduar,2018-07-27,contained_grid,34.084,48.800003,0.46924996,0.97249997,0.010192296,0.0199674,0.00051615521,5,Low Modelled Signal,False,34.084,28.689594,43.405594,28.674072,43.390076,-5.4099274,-5.3944054
76128533B35167844027544,Alirajpur,2018-07-27,contained_grid,5.6500001,5.8900003,0.069499992,0.27499998,0.0024310004,0.0028951736,0.0001567329,5,Low Modelled Signal,False,5.6500001,0.29847383,0.49559259,0.28605738,0.48007202,-5.3639426,-5.3515263
76128533B51368558457506,Allahabad,2018-07-27,contained_grid,3.53,6.9899998,5.0948215,9.0725002,0.0031260052,0.005956748,0.00018983686,7,Low Modelled Signal,False,3.53,0.35016912,1.595592,0.34573466,1.5800714,-3.1842654,-3.1798308
76128533B74917207853309,Almora,2018-07-27,contained_grid,30.018,34.880001,7.2922502,13.8625,0.027909869,0.040348701,0.0010395627,5,Low Modelled Signal,False,30.018,24.623592,29.485594,24.608072,29.470074,-5.4099274,-5.3944073
76128533B5628791558965,Alwar,2018-07-27,contained_grid,91.550713,146.98999,1.5495535,4.2725,0.13605978,0.56308824,0.0060951756,14,Heavy Rain Watch,False,91.550713,86.156303,141.59558,86.140793,141.58006,-5.4099197,-5.3944092
76128533B95049353851516,Ambala,2018-07-27,contained_grid,26.110001,26.639999,40.753754,62.112507,0.01062032,0.012109112,8.5482607e-05,2,Low Modelled Signal,False,26.110001,20.715591,21.245592,20.700071,21.230072,-5.4099293,-5.3944092
76128533B7879459377699,Ambedkar Nagar,2018-07-27,contained_grid,1.005,1.08,8.4181252,9.8175001,0.00098028034,0.001530127,4.4227865e-05,2,Low Modelled Signal,False,1.005,0.0,0.0,0.0,0.0,-1.005,-1.005
76128533B13908294104682,Amethi,2018-07-27,contained_grid,2.2950001,2.52,2.0703123,5.1199994,0.0005475416,0.00058559806,6.3597785e-05,4,Low Modelled Signal,False,2.2950001,0.0,0.0,0.0,0.0,-2.2950001,-2.2950001
76128533B63815467309300,Amravati,2018-07-27,contained_grid,2.534375,4.5800004,0.04328125,0.19999999,0.00046176452,0.0013910641,0.00015537106,16,Low Modelled Signal,False,2.534375,0.0,0.0,0.0,0.0,-2.534375,-2.534375
76128533B43737470294384,Amreli,2018-07-27,contained_grid,1.355,2.4499998,0.014374999,0.1125,7.4730182e-05,0.00018501408,1.2243313e-05,10,Low Modelled Signal,False,1.355,0.0,0.0,0.0,0.0,-1.355,-1.355
76128533B8426545955058,Amritsar,2018-07-27,contained_grid,48.579998,49.0,16.41,21.464998,0.0097032655,0.0097032655,0.00014730118,2,Low Modelled Signal,False,48.579998,43.185589,43.605591,43.170071,43.590073,-5.4099274,-5.3944092
76128533B69438085511257,Anand,2018-07-27,contained_grid,1.8475001,2.3400002,0.48499998,1.17875,0.00050471595,0.00055314531,3.2431439e-05,4,Low Modelled Signal,False,1.8475001,0.0,0.0,0.0,0.0,-1.8475001,-1.8475001
