date,shapeID,shapeName,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
2018-07-27,76128533B10270619600482,South District,nearest_grid,15.790001,15.790001,5.585,5.585,0.028315334,0.028315334,0.00033666493,1,Low Modelled Signal,False,15.790001,10.395594,10.395594,10.380073,10.380073,-5.4099283,-5.3944073
2018-07-27,76128533B10727492375508,Fatehabad,contained_grid,9.3725,16.150002,0.0928125,0.3,0.0057037403,0.0061393473,0.00033336141,4,Low Modelled Signal,False,9.3725,4.9777966,10.755594,4.9700365,10.740073,-4.402464,-4.394704
2018-07-27,76128533B1083016608278,Gulbarga,contained_grid,0.632,1.0200001,0.11224999,1.29,0.0001440617,0.00015248233,2.4766749e-05,15,Low Modelled Signal,False,0.632,0.0,0.0,0.0,0.0,-0.632,-0.632
2018-07-27,76128533B11082155919544,Rajsamand,contained_grid,0.41285715,0.89,0.0,0.0,0.0003723506,0.0005260639,5.6734298e-05,7,Low Modelled Signal,False,0.41285715,0.0,0.0,0.0,0.0,-0.41285715,-0.41285715
2018-07-27,76128533B11083100419963,Mahoba,contained_grid,1.7825,2.51,2.0587502,3.025,0.0016739476,0.0038020473,0.00010597602,4,Low Modelled Signal,False,1.7825,0.0,0.0,0.0,0.0,-1.7825,-1.7825
2018-07-27,76128533B11403491783632,Tirupathur,contained_grid,0.0033333332,0.01,0.3445833,0.62999994,0.00013866596,0.00017543888,2.1214786e-05,3,Low Modelled Signal,False,0.0033333332,0.0,0.0,0.0,0.0,-0.0033333332,-0.0033333332
2018-07-27,76128533B11421856387892,Tamenglong,contained_grid,19.3275,23.23,6.2403126,11.415,0.009582942,0.012879506,0.00023091881,4,Low Modelled Signal,False,19.3275,13.933092,17.835592,13.917571,17.820072,-5.4099283,-5.3944073
2018-07-27,76128533B11651252780045,Dibang Valley,contained_grid,12.746154,25.08,9.81625,37.8525,0.0038954967,0.008608989,0.00042404156,13,Low Modelled Signal,False,12.746154,7.351746,19.685593,7.3362255,19.67007,-5.4099283,-5.3944077
2018-07-27,76128533B11802210119774,Sirmaur,contained_grid,21.081999,29.48,88.3655,108.9825,0.009915112,0.012700874,8.98342e-05,5,Low Modelled Signal,False,21.081999,15.687592,24.085592,15.672071,24.070072,-5.4099274,-5.3944073
2018-07-27,76128533B12079567451207,Dungarpur,contained_grid,3.3059998,3.87,0.0015,0.0075,0.004287091,0.0048641236,0.0006379967,5,Low Modelled Signal,False,3.3059998,0.0,0.0,0.0,0.0,-3.3059998,-3.3059998
2018-07-27,76128533B12129983841645,Kra Daadi,contained_grid,26.335001,36.47,7.11125,10.780001,0.009832207,0.010822198,0.00034504235,4,Low Modelled Signal,False,26.335001,20.940594,31.075594,20.925074,31.060074,-5.4099274,-5.3944073
2018-07-27,76128533B12144400448811,Kondagaon,contained_grid,6.1487494,10.509998,0.5051562,1.4949999,0.0025137789,0.0037658087,0.00054791814,8,Low Modelled Signal,False,6.1487494,1.2640457,5.1155906,1.2562854,5.10007,-4.8924637,-4.8847036
2018-07-27,76128533B12197302963241,Sahibzada Ajit Singh Nagar,nearest_grid,26.789999,26.789999,15.51,15.51,0.01144839,0.01144839,4.4235072e-05,1,Low Modelled Signal,False,26.789999,21.395592,21.395592,21.38007,21.38007,-5.4099293,-5.3944073
2018-07-27,76128533B1222571856670,Hazaribagh,contained_grid,2.4883332,7.6899996,31.836458,48.229992,0.004568577,0.0068979333,0.00018637415,6,Low Modelled Signal,False,2.4883332,0.38259864,2.2955918,0.3800119,2.2800713,-2.1083214,-2.1057346
2018-07-27,76128533B12244045944458,Rohtak,contained_grid,34.3975,39.520004,3.983125,8.4625,0.08391269,0.21171714,0.00065577845,4,Heavy Rain Watch,False,34.3975,29.003092,34.125595,28.987572,34.110077,-5.4099274,-5.3944073
2018-07-27,76128533B12244320360965,Buxar,contained_grid,5.165,7.05,2.9256248,3.3799996,0.010376401,0.012191529,0.00037653118,2,Low Modelled Signal,False,5.165,0.8277962,1.6555924,0.82003593,1.6400719,-4.344964,-4.337204
2018-07-27,76128533B12294379827032,Garhwa,contained_grid,6.728333,11.530001,16.226873,43.149998,0.007762437,0.0132241165,0.0004945776,6,Low Modelled Signal,False,6.728333,1.6813269,6.135593,1.6683931,6.1200724,-5.05994,-5.047006
2018-07-27,76128533B12343314564708,Morena,contained_grid,43.855713,62.65,2.1048214,8.674999,0.04700172,0.058198497,0.0005192774,7,Low Modelled Signal,False,43.855713,38.461308,57.255592,38.44579,57.240074,-5.4099236,-5.3944054
2018-07-27,76128533B12380735325851,Akola,contained_grid,2.7533333,3.32,0.0,0.0,0.00022376509,0.00024784214,7.759682e-05,6,Low Modelled Signal,False,2.7533333,0.0,0.0,0.0,0.0,-2.7533333,-2.7533333
2018-07-27,76128533B12519626815499,Tapi,contained_grid,5.8583336,7.25,0.013125,0.04,0.0023215371,0.0031832932,0.00028505467,6,Low Modelled Signal,False,5.8583336,0.49206147,1.8555923,0.4817144,1.8400717,-5.3766193,-5.366272
2018-07-27,76128533B12694285477701,Darbhanga,contained_grid,34.2275,43.380005,8.940312,11.879999,0.014807667,0.018483527,0.00039088927,4,Low Modelled Signal,False,34.2275,28.833094,37.985596,28.817574,37.970078,-5.4099274,-5.3944073
2018-07-27,76128533B13272482176343,Bulandshahr,contained_grid,2.1859999,3.7899997,25.3335,47.004993,0.0029965455,0.004415661,0.00032280682,5,Low Modelled Signal,False,2.1859999,0.0,0.0,0.0,0.0,-2.1859999,-2.1859999
2018-07-27,76128533B13437137070957,Nagaon,contained_grid,24.658,31.009998,6.81075,15.788751,0.010602317,0.014752995,0.0020207332,5,Low Modelled Signal,False,24.658,19.263592,25.615591,19.248072,25.60007,-5.4099293,-5.394409
2018-07-27,76128533B13552746017223,Faridkot,contained_grid,12.756667,15.63,1.6433334,2.46,0.0077352696,0.009342146,0.00014241177,3,Low Modelled Signal,False,12.756667,7.3622594,10.235592,7.346739,10.220072,-5.4099283,-5.3944077
2018-07-27,76128533B13673614951516,Chandauli,contained_grid,3.2350001,5.34,1.279375,2.08,0.0033024843,0.005467542,0.00027181124,4,Low Modelled Signal,False,3.2350001,0.0,0.0,0.0,0.0,-3.2350001,-3.2350001
2018-07-27,76128533B13697452453823,Kangra,contained_grid,20.195,30.26,2.2203126,7.0950003,0.011097928,0.018292788,0.00053980894,8,Low Modelled Signal,False,20.195,14.800593,24.865593,14.785072,24.85007,-5.4099274,-5.3944063
