latitude,longitude,shapeName,shapeID
7.0,93.75,Nicobars,76128533B33103505211400
8.0,93.5,Nicobars,76128533B33103505211400
8.25,77.25,Kanniyakumari,76128533B53796141759805
8.25,77.5,Kanniyakumari,76128533B53796141759805
8.25,77.75,Tirunelveli,76128533B52639434516056
8.5,77.0,Thiruvananthapuram,76128533B33162455176756
8.5,77.25,Kanniyakumari,76128533B53796141759805
8.5,77.5,Tirunelveli,76128533B52639434516056
8.5,77.75,Tirunelveli,76128533B52639434516056
8.5,78.0,Thoothukkudi,76128533B31241181851990
8.75,76.75,Thiruvananthapuram,76128533B33162455176756
8.75,77.0,Thiruvananthapuram,76128533B33162455176756
8.75,77.25,Tirunelveli,76128533B52639434516056
8.75,77.5,Tirunelveli,76128533B52639434516056
8.75,77.75,Tirunelveli,76128533B52639434516056
8.75,78.0,Thoothukkudi,76128533B31241181851990
9.0,76.75,Kollam,76128533B61117593923933
9.0,77.0,Kollam,76128533B61117593923933
9.0,77.25,Tenkasi,76128533B27604563137530
9.0,77.5,Tenkasi,76128533B27604563137530
9.0,77.75,Thoothukkudi,76128533B31241181851990
9.0,78.0,Thoothukkudi,76128533B31241181851990
9.0,78.25,Thoothukkudi,76128533B31241181851990
9.25,76.5,Alappuzha,76128533B86368264587575
9.25,76.75,Pathanamthitta,76128533B29330052395581
9.25,77.0,Pathanamthitta,76128533B29330052395581
9.25,77.25,Pathanamthitta,76128533B29330052395581
9.25,77.5,Tenkasi,76128533B27604563137530
9.25,77.75,Thoothukkudi,76128533B31241181851990
9.25,78.0,Thoothukkudi,76128533B31241181851990
9.25,78.25,Thoothukkudi,76128533B31241181851990
9.25,78.5,Ramanathapuram,76128533B1629699732681
9.25,78.75,Ramanathapuram,76128533B1629699732681
9.5,76.5,Alappuzha,76128533B86368264587575
9.5,76.75,Kottayam,76128533B2576169508425
9.5,77.0,Idukki,76128533B35083559759016
9.5,77.25,Idukki,76128533B35083559759016
9.5,77.5,Virudhunagar,76128533B70974512658911
9.5,77.75,Virudhunagar,76128533B70974512658911
9.5,78.0,Virudhunagar,76128533B70974512658911
9.5,78.25,Virudhunagar,76128533B70974512658911
9.5,78.5,Ramanathapuram,76128533B1629699732681
9.5,78.75,Ramanathapuram,76128533B1629699732681
9.75,76.5,Kottayam,76128533B2576169508425
9.75,76.75,Kottayam,76128533B2576169508425
9.75,77.0,Idukki,76128533B35083559759016
9.75,77.25,Theni,76128533B79135514077232
9.75,77.5,Theni,76128533B79135514077232
9.75,77.75,Madurai,76128533B71824979235503
9.75,78.0,Madurai,76128533B71824979235503
9.75,78.25,Virudhunagar,76128533B70974512658911
9.75,78.5,Sivaganga,76128533B89925537847414
9.75,78.75,Ramanathapuram,76128533B1629699732681
9.75,79.0,Ramanathapuram,76128533B1629699732681
10.0,76.25,Ernakulam,76128533B75519739609062
10.0,76.5,Ernakulam,76128533B75519739609062
10.0,76.75,Ernakulam,76128533B75519739609062
10.0,77.0,Idukki,76128533B35083559759016
10.0,77.25,Idukki,76128533B35083559759016
10.0,77.5,Theni,76128533B79135514077232
10.0,77.75,Madurai,76128533B71824979235503
10.0,78.0,Madurai,76128533B71824979235503
10.0,78.25,Madurai,76128533B71824979235503
10.0,78.5,Sivaganga,76128533B89925537847414
10.0,78.75,Sivaganga,76128533B89925537847414
10.0,79.0,Pudukkottai,76128533B64003397477352
10.25,76.25,Thrissur,76128533B75696328527555
10.25,76.5,Ernakulam,76128533B75519739609062
10.25,76.75,Ernakulam,76128533B75519739609062
10.25,77.0,Coimbatore,76128533B4753404177348
10.25,77.25,Idukki,76128533B35083559759016
10.25,77.5,Dindigul,76128533B28879432621383
10.25,77.75,Dindigul,76128533B28879432621383
10.25,78.0,Dindigul,76128533B28879432621383
10.25,78.25,Dindigul,76128533B28879432621383
10.25,78.5,Pudukkottai,76128533B64003397477352
10.25,78.75,Pudukkottai,76128533B64003397477352
10.25,79.0,Pudukkottai,76128533B64003397477352
10.25,79.25,Thanjavur,76128533B54279577656282
10.5,76.25,Thrissur,76128533B75696328527555
10.5,76.5,Palakkad,76128533B19581555782120
10.5,76.75,Palakkad,76128533B19581555782120
10.5,77.0,Coimbatore,76128533B4753404177348
10.5,77.25,Tiruppur,76128533B57036825942975
10.5,77.5,Dindigul,76128533B28879432621383
10.5,77.75,Dindigul,76128533B28879432621383
10.5,78.0,Dindigul,76128533B28879432621383
10.5,78.25,Tiruchirappalli,76128533B1645877589145
10.5,78.5,Pudukkottai,76128533B64003397477352
10.5,78.75,Pudukkottai,76128533B64003397477352
10.5,79.0,Pudukkottai,76128533B64003397477352
10.5,79.25,Thanjavur,76128533B54279577656282
10.5,79.5,Thiruvarur,76128533B45072089356239
10.5,79.75,Nagapattinam,76128533B88466433485589
10.75,76.0,Malappuram,76128533B83861010847920
10.75,76.25,Palakkad,76128533B19581555782120
10.75,76.5,Palakkad,76128533B19581555782120
10.75,76.75,Palakkad,76128533B19581555782120
10.75,77.0,Coimbatore,76128533B4753404177348
10.75,77.25,Tiruppur,76128533B57036825942975
10.75,77.5,Tiruppur,76128533B57036825942975
10.75,77.75,Tiruppur,76128533B57036825942975
10.75,78.0,Dindigul,76128533B28879432621383
10.75,78.25,Karur,76128533B19335918192159
10.75,78.5,Karur,76128533B19335918192159
10.75,78.75,Tiruchirappalli,76128533B1645877589145
10.75,79.0,Thanjavur,76128533B54279577656282
10.75,79.25,Thanjavur,76128533B54279577656282
10.75,79.5,Thiruvarur,76128533B45072089356239
10.75,79.75,Nagapattinam,76128533B88466433485589
10.75,92.5,South Andaman,76128533B22587307937261
11.0,76.0,Malappuram,76128533B83861010847920
11.0,76.25,Malappuram,76128533B83861010847920
11.0,76.5,Palakkad,76128533B19581555782120
11.0,76.75,Coimbatore,76128533B4753404177348
11.0,77.0,Coimbatore,76128533B4753404177348
11.0,77.25,Tiruppur,76128533B57036825942975
11.0,77.5,Tiruppur,76128533B57036825942975
11.0,77.75,Tiruppur,76128533B57036825942975
11.0,78.0,Karur,76128533B19335918192159
11.0,78.25,Tiruchirappalli,76128533B1645877589145
11.0,78.5,Tiruchirappalli,76128533B1645877589145
11.0,78.75,Tiruchirappalli,76128533B1645877589145
11.0,79.0,Ariyalur,76128533B16889790752134
11.0,79.25,Ariyalur,76128533B16889790752134
11.0,79.5,Thanjavur,76128533B54279577656282
11.0,79.75,Thiruvarur,76128533B45072089356239
11.25,76.0,Malappuram,76128533B83861010847920
11.25,76.25,Malappuram,76128533B83861010847920
11.25,76.5,The Nilgiris,76128533B21812274124310
11.25,76.75,Coimbatore,76128533B4753404177348
11.25,77.0,Coimbatore,76128533B4753404177348
11.25,77.25,Tiruppur,76128533B57036825942975
11.25,77.5,Erode,76128533B15337568968545
