date,valid_pairs,imerg_mean_mm,imd_mean_mm,mean_absolute_difference_mm
2018-07-01,4962,8.410054,6.091929,9.532894
2018-07-02,4962,9.610206,9.038514,9.789434
2018-07-03,4962,9.493993,10.307514,10.747268
2018-07-04,4962,8.304131,8.927484,9.013477
2018-07-05,4962,5.811616,7.4794226,8.275135
2018-07-06,4962,7.0930557,6.0709405,7.33161
2018-07-07,4962,8.661446,7.425169,8.340826
2018-07-08,4962,8.750187,7.8426228,8.393433
2018-07-09,4962,9.81059,7.4569354,9.160666
2018-07-10,4962,9.928585,8.554787,10.344262
2018-07-11,4962,13.266912,8.945311,11.926546
2018-07-12,4962,12.9521265,10.614898,12.366835
2018-07-13,4962,10.335466,11.855457,11.3232765
2018-07-14,4962,10.476268,9.556287,10.795303
2018-07-15,4962,12.289227,10.67019,11.700863
2018-07-16,4962,13.711119,12.462099,14.082273
2018-07-17,4962,7.5701046,13.452221,12.0679
2018-07-18,4962,6.7762785,9.380761,9.58852
2018-07-19,4962,7.4206967,6.388893,8.508923
2018-07-20,4962,13.1023,7.7104673,12.989879
2018-07-21,4962,12.370135,10.800905,12.21959
2018-07-22,4962,10.5321045,12.92742,12.375101
2018-07-23,4962,9.148571,9.981518,10.710038
2018-07-24,4962,7.5278745,8.920205,9.849465
2018-07-25,4962,11.634716,7.6309485,11.528995
2018-07-26,4962,8.749989,11.693859,9.997977
2018-07-27,4962,5.453458,7.574705,6.4822645
2018-07-28,4962,5.944152,5.9826517,6.107574
2018-07-29,4962,7.3563223,5.996287,7.5449
2018-07-30,4962,7.271027,6.342984,6.194754
2018-07-31,4962,8.419093,6.5247884,6.7420444
