model,RMSE,MAE,Bias,Correlation,scope,regime,dates
Regime-aware correction,19.28331,9.319411,1.7753707,0.4180594347264514,overall,All,
Global correction,19.293255,9.32607,1.795499,0.4182675196823995,overall,All,
Raw GEFS,20.383118,10.980301,5.3366957,0.42816102584275245,overall,All,
Raw GEFS,21.823767,11.626359,5.080247,0.510435511456092,per-regime,Active,4.0
Global correction,20.835585,10.068924,1.558575,0.5053431868742819,per-regime,Active,4.0
Regime-aware correction,20.862535,10.109785,1.6631267,0.5056795049362723,per-regime,Active,4.0
Raw GEFS,18.403837,10.193403,5.4588804,0.4533129136606697,per-regime,Break,9.0
Global correction,17.19822,8.376396,1.8850998,0.44574689331625417,per-regime,Break,9.0
Regime-aware correction,17.22294,8.402975,1.9441433,0.4456360017870471,per-regime,Break,9.0
Raw GEFS,23.714779,12.424675,6.058847,0.3695747403709575,per-regime,Low/Depression,7.0
Global correction,22.604618,10.802831,2.4026034,0.3587063332191983,per-regime,Low/Depression,7.0
Regime-aware correction,22.507439,10.680885,2.0885196,0.3572952138146842,per-regime,Low/Depression,7.0
Raw GEFS,19.044117,10.470049,4.8704305,0.40976495013470154,per-regime,Normal,11.0
Global correction,17.999607,8.893189,1.4220041,0.3958757495012565,per-regime,Normal,11.0
Regime-aware correction,18.01637,8.915422,1.4788238,0.39594768457127066,per-regime,Normal,11.0
