fold,model,test_dates,test_records,MAE,RMSE,R2,macro_regime_MAE
1,IMERG-intensity baseline,7,32424,0.17242228130658868,0.2064488220307878,0.36837695278575144,0.17957907054629563
1,IMERG + geographic features,7,32424,0.16200964263537923,0.2008004071578142,0.40246640393788813,0.16536778688236628
2,IMERG-intensity baseline,6,27792,0.1780894863355766,0.21409829088876636,0.34427830463032383,0.1804317355423495
2,IMERG + geographic features,6,27792,0.16680705412975583,0.20765747569392068,0.3831376088095785,0.16726433827824175
3,IMERG-intensity baseline,6,27792,0.17568707740597841,0.21473839580200488,0.33457992181225515,0.18536545641910812
3,IMERG + geographic features,6,27792,0.16482574153342447,0.20779602757686294,0.37690972346065743,0.16714942404811517
4,IMERG-intensity baseline,6,27792,0.17597849574186863,0.21409828103457573,0.3125592656334727,0.1806036611829585
4,IMERG + geographic features,6,27792,0.16473721116256965,0.2087047670971304,0.3467586916247529,0.16402772697488588
5,IMERG-intensity baseline,6,27792,0.17753603660353814,0.21472046619283736,0.31309865232748935,0.1837972567042476
5,IMERG + geographic features,6,27792,0.167336905780102,0.21158241682502024,0.33302948884974337,0.16812258643423825
