fold,model,test_blocks,test_records,MAE,RMSE,R2,macro_regime_MAE
1,IMERG-intensity baseline,5,28303,0.1812438902559342,0.2164580540681758,0.3467972419377954,0.18221660948415708
1,IMERG + geographic features,5,28303,0.17419064233000833,0.2170030146159046,0.3435040604133268,0.18071909584698287
2,IMERG-intensity baseline,6,28334,0.18060162131644997,0.2192682960868361,0.322048599156326,0.1628726636849457
2,IMERG + geographic features,6,28334,0.17264678896182792,0.21599699806374836,0.34212662598587473,0.1568278111303525
3,IMERG-intensity baseline,4,28458,0.16997624743125603,0.20275601893559977,0.31981992785917046,0.17208637459222922
3,IMERG + geographic features,4,28458,0.15605382889493663,0.200236186737888,0.3366212964880174,0.16673312993879763
4,IMERG-intensity baseline,4,29760,0.18307576203647036,0.22157464913079822,0.29758056406069333,0.1762757445435278
4,IMERG + geographic features,4,29760,0.17492817026952262,0.22010713881316443,0.30685413577868725,0.16917212290935954
5,IMERG-intensity baseline,4,28737,0.1649228591689013,0.20355000076530333,0.36439738420341306,0.19169317612163694
5,IMERG + geographic features,4,28737,0.16235481768700658,0.19946855302384306,0.3896311890278067,0.17925795701601763
