model,metric,threshold_mm,neighborhood_cells,value
Raw GEFS,RMSE,,,18.210973224038696
Raw GEFS,MAE,,,9.876633676306575
Raw GEFS,Bias,,,4.467036329302502
Raw GEFS,Correlation,,,0.41602975153985267
Bias corrected,RMSE,,,17.224458520415098
Bias corrected,MAE,,,8.26849661806948
Bias corrected,Bias,,,1.2380699012624021
Bias corrected,Correlation,,,0.40571783614718077
Raw GEFS,CSI,64.5,,0.06955645161290322
Raw GEFS,POD,64.5,,0.12522686025408347
Raw GEFS,FAR,64.5,,0.8647058823529412
Raw GEFS,ETS,64.5,,0.06075389498673913
Bias corrected,CSI,64.5,,0.06323185011709602
Bias corrected,POD,64.5,,0.09800362976406533
Bias corrected,FAR,64.5,,0.8487394957983193
Bias corrected,ETS,64.5,,0.05603842741204945
Raw GEFS,CSI,115.6,,0.0
Raw GEFS,POD,115.6,,0.0
Raw GEFS,FAR,115.6,,1.0
Raw GEFS,ETS,115.6,,-0.0005223670117976952
Bias corrected,CSI,115.6,,0.0
Bias corrected,POD,115.6,,0.0
Bias corrected,FAR,115.6,,1.0
Bias corrected,ETS,115.6,,-0.00030696120873649973
Raw GEFS,FSS,64.5,1.0,0.1270718232044199
Bias corrected,FSS,64.5,1.0,0.11600429645542432
Raw GEFS,FSS,64.5,3.0,0.201660566020891
Bias corrected,FSS,64.5,3.0,0.19237941849622797
Raw GEFS,FSS,64.5,5.0,0.2564280370079747
Bias corrected,FSS,64.5,5.0,0.24492690377481985
Raw GEFS,FSS,64.5,9.0,0.33540073266658366
Bias corrected,FSS,64.5,9.0,0.3180332528065938
Raw GEFS,FSS,115.6,1.0,0.0
Bias corrected,FSS,115.6,1.0,0.0
Raw GEFS,FSS,115.6,3.0,0.0
Bias corrected,FSS,115.6,3.0,0.0
Raw GEFS,FSS,115.6,5.0,0.003092091829293153
Bias corrected,FSS,115.6,5.0,0.00329909741674439
Raw GEFS,FSS,115.6,9.0,0.006038040594789296
Bias corrected,FSS,115.6,9.0,0.006292508685227682
