observation_reference,scope,model,samples,RMSE,MAE,Bias,Correlation
IMERG,Overall,Raw GEFS,143592,21.707943,12.107442,5.1298847,0.4008139444740823
IMERG,Interior plain,Raw GEFS,96348,21.937107,12.010302,5.279047,0.3931948573798671
IMERG,Coastal plain,Raw GEFS,14849,20.925898,11.784419,0.26542917,0.5131960109664387
IMERG,Interior orographic,Raw GEFS,29233,20.72833,12.016469,7.1776466,0.3653416567805333
IMERG,Coastal orographic,Raw GEFS,3162,26.596527,17.42538,4.4969354,0.45433006491150824
IMERG,Overall,Global correction,143592,20.622631,10.892244,1.7252611,0.38489711467953597
IMERG,Interior plain,Global correction,96348,20.791487,10.841075,1.996136,0.37558106495096233
IMERG,Coastal plain,Global correction,14849,20.927794,11.387863,-2.870863,0.4979491037882939
IMERG,Interior orographic,Global correction,29233,19.207142,10.223437,3.3208783,0.3502950844986167
IMERG,Coastal orographic,Global correction,3162,25.959417,16.307108,0.30367294,0.44669677649091133
IMERG,Overall,Regime correction,143592,20.590908,10.8755245,1.6928489,0.3847136737014687
IMERG,Interior plain,Regime correction,96348,20.752174,10.82011,1.9626591,0.37545642032784765
IMERG,Coastal plain,Regime correction,14849,20.914742,11.381653,-2.8985891,0.49777652724179944
IMERG,Interior orographic,Regime correction,29233,19.195484,10.216398,3.289302,0.34974914524666684
IMERG,Coastal orographic,Regime correction,3162,25.903467,16.280876,0.27396286,0.4474349254854298
IMERG,Overall,Selective trust raw,143592,20.339388,10.642645,2.4106438,0.43096855262815753
IMERG,Interior plain,Selective trust raw,96348,20.5055,10.566383,2.7234297,0.42926815117742173
IMERG,Coastal plain,Selective trust raw,14849,20.559032,11.162177,-2.1966603,0.5208471876840159
IMERG,Interior orographic,Selective trust raw,29233,18.879221,9.978455,3.8401132,0.40493419755699467
IMERG,Coastal orographic,Selective trust raw,3162,26.347507,16.667114,1.3005561,0.437940863606202
IMERG,Overall,Selective trust global,143592,20.593126,10.874993,1.7018015,0.38540317840646116
IMERG,Interior plain,Selective trust global,96348,20.756783,10.820534,1.9719931,0.3762495916725494
IMERG,Coastal plain,Selective trust global,14849,20.91088,11.379716,-2.8876014,0.4981814708070259
IMERG,Interior orographic,Selective trust global,29233,19.189806,10.212294,3.295155,0.3505769452670398
IMERG,Coastal orographic,Selective trust global,3162,25.924515,16.290943,0.29038897,0.4470411489837058
IMD,Overall,Raw GEFS,143592,23.65497,12.808287,5.7441993,0.3273064653945554
IMD,Interior plain,Raw GEFS,96348,23.970228,12.824073,6.587463,0.2785033450201949
IMD,Coastal plain,Raw GEFS,14849,23.675402,11.787226,0.009307497,0.5087702985881385
IMD,Interior orographic,Raw GEFS,29233,22.18147,12.947683,6.7855654,0.31734779743952307
IMD,Coastal orographic,Raw GEFS,3162,26.868927,15.83355,-2.6465807,0.611422257171484
IMD,Overall,Global correction,143592,22.544863,11.391711,2.3395755,0.31209018416958395
IMD,Interior plain,Global correction,96348,22.647953,11.352152,3.3045518,0.26086990608420746
IMD,Coastal plain,Global correction,14849,23.793753,11.137243,-3.1269848,0.4972990245906661
IMD,Interior orographic,Global correction,29233,20.869349,11.180772,2.9287977,0.30271294639397256
IMD,Coastal orographic,Global correction,3162,27.695446,15.742284,-6.8398438,0.6041816562277583
IMD,Overall,Regime correction,143592,22.511187,11.370139,2.3071635,0.31206472520203304
IMD,Interior plain,Regime correction,96348,22.602024,11.32389,3.2710752,0.26101745497535195
IMD,Coastal plain,Regime correction,14849,23.797832,11.145001,-3.1547108,0.4966517008116004
IMD,Interior orographic,Regime correction,29233,20.85454,11.164427,2.8972213,0.3025726869237259
IMD,Coastal orographic,Regime correction,3162,27.681421,15.738429,-6.869553,0.6046365588356827
IMD,Overall,Selective trust raw,143592,22.831488,11.612921,3.0249584,0.32341702354921564
IMD,Interior plain,Selective trust raw,96348,23.036669,11.623228,4.031846,0.2759481957575408
IMD,Coastal plain,Selective trust raw,14849,23.734016,11.19314,-2.4527817,0.5020221966083989
IMD,Interior orographic,Selective trust raw,29233,21.064793,11.356472,3.4480324,0.3152628350096782
IMD,Coastal orographic,Selective trust raw,3162,27.461184,15.641026,-5.842961,0.6056738574308264
IMD,Overall,Selective trust global,143592,22.52137,11.375302,2.3161159,0.3122382547894454
IMD,Interior plain,Selective trust global,96348,22.616945,11.331519,3.2804093,0.2612101326351784
IMD,Coastal plain,Selective trust global,14849,23.795969,11.143106,-3.1437228,0.49684852373988736
IMD,Interior orographic,Selective trust global,29233,20.855864,11.165468,2.9030745,0.3028190451046824
IMD,Coastal orographic,Selective trust global,3162,27.684547,15.739729,-6.8531265,0.6044724257151048
