date,scope,model,samples,RMSE,MAE,absolute_bias
2018-07-01,Overall,Regime correction,4632,24.48214,9.798944,3.5071
2018-07-01,Overall,Selective trust raw,4632,24.946493,10.11387,4.0644746
2018-07-01,Coastal plain,Regime correction,479,12.172535,6.0328574,4.2210884
2018-07-01,Coastal plain,Selective trust raw,479,12.080776,5.9859304,4.0127497
2018-07-01,Coastal orographic,Regime correction,102,12.483902,6.953034,6.5028687
2018-07-01,Coastal orographic,Selective trust raw,102,12.033677,6.532431,5.978274
2018-07-02,Overall,Regime correction,4632,21.804888,10.64627,3.0971553
2018-07-02,Overall,Selective trust raw,4632,22.218014,10.940412,3.7161605
2018-07-02,Coastal plain,Regime correction,479,12.386011,6.645393,2.1926036
2018-07-02,Coastal plain,Selective trust raw,479,12.590802,6.858842,2.6730256
2018-07-02,Coastal orographic,Regime correction,102,13.104623,8.628086,1.7836285
2018-07-02,Coastal orographic,Selective trust raw,102,13.359535,8.890626,2.548438
2018-07-03,Overall,Regime correction,4632,21.150295,12.081619,1.843855
2018-07-03,Overall,Selective trust raw,4632,21.278788,12.217675,2.5248172
2018-07-03,Coastal plain,Regime correction,479,19.83199,12.498598,2.0408444
2018-07-03,Coastal plain,Selective trust raw,479,19.997868,12.567089,1.128299
2018-07-03,Coastal orographic,Regime correction,102,16.879387,10.866276,3.9846087
2018-07-03,Coastal orographic,Selective trust raw,102,16.716637,10.777888,3.076995
2018-07-04,Overall,Regime correction,4632,20.078836,10.136235,1.9090488
2018-07-04,Overall,Selective trust raw,4632,20.14036,10.336824,2.4821768
2018-07-04,Coastal plain,Regime correction,479,17.448519,9.498367,1.6291372
2018-07-04,Coastal plain,Selective trust raw,479,17.59754,9.80347,0.8467491
2018-07-04,Coastal orographic,Regime correction,102,12.626848,7.710692,1.0885428
2018-07-04,Coastal orographic,Selective trust raw,102,12.740399,7.80135,1.7943976
2018-07-05,Overall,Regime correction,4632,15.159076,7.7610946,0.084363185
2018-07-05,Overall,Selective trust raw,4632,15.427541,7.9748697,0.47468647
2018-07-05,Coastal plain,Regime correction,479,18.276005,8.586539,6.134327
2018-07-05,Coastal plain,Selective trust raw,479,18.213404,8.737341,5.6431904
2018-07-05,Coastal orographic,Regime correction,102,24.053701,11.20357,5.6964808
2018-07-05,Coastal orographic,Selective trust raw,102,23.929892,11.178551,5.17296
2018-07-06,Overall,Regime correction,4632,15.345748,7.61289,0.348331
2018-07-06,Overall,Selective trust raw,4632,15.369622,7.6815023,0.71999925
2018-07-06,Coastal plain,Regime correction,479,15.907193,7.5733705,2.847753
2018-07-06,Coastal plain,Selective trust raw,479,15.968764,7.681346,2.3607242
2018-07-06,Coastal orographic,Regime correction,102,35.943584,16.419905,12.696894
2018-07-06,Coastal orographic,Selective trust raw,102,35.802975,16.418915,12.331511
2018-07-07,Overall,Regime correction,4632,18.810549,8.228223,0.21021815
2018-07-07,Overall,Selective trust raw,4632,18.855776,8.425071,0.6976535
2018-07-07,Coastal plain,Regime correction,479,25.829948,12.783053,3.4348445
2018-07-07,Coastal plain,Selective trust raw,479,25.727894,12.8620825,2.7881236
2018-07-07,Coastal orographic,Regime correction,102,51.902683,31.419712,19.477169
2018-07-07,Coastal orographic,Selective trust raw,102,51.61416,31.282925,18.838943
2018-07-08,Overall,Regime correction,4632,18.145418,8.144389,0.0815932
2018-07-08,Overall,Selective trust raw,4632,18.35841,8.295968,0.52806157
2018-07-08,Coastal plain,Regime correction,479,32.33457,14.633083,9.549786
2018-07-08,Coastal plain,Selective trust raw,479,32.157402,14.49216,9.200491
2018-07-08,Coastal orographic,Regime correction,102,47.404316,30.483332,17.50376
2018-07-08,Coastal orographic,Selective trust raw,102,47.21251,30.52185,16.891867
2018-07-09,Overall,Regime correction,4632,16.565071,8.028557,0.49988225
2018-07-09,Overall,Selective trust raw,4632,16.665714,8.190936,1.0394747
2018-07-09,Coastal plain,Regime correction,479,25.845966,10.272773,2.048734
2018-07-09,Coastal plain,Selective trust raw,479,25.86535,10.393456,1.6224421
2018-07-09,Coastal orographic,Regime correction,102,27.340464,20.043215,7.651195
2018-07-09,Coastal orographic,Selective trust raw,102,27.115412,19.988592,7.087014
2018-07-10,Overall,Regime correction,4632,21.429125,11.638542,3.2119086
2018-07-10,Overall,Selective trust raw,4632,22.081783,12.044612,3.8490634
2018-07-10,Coastal plain,Regime correction,479,30.980064,17.669981,4.395496
2018-07-10,Coastal plain,Selective trust raw,479,31.79943,18.24295,5.363347
2018-07-10,Coastal orographic,Regime correction,102,34.082806,22.067703,12.985932
2018-07-10,Coastal orographic,Selective trust raw,102,34.128582,22.271372,12.312562
2018-07-11,Overall,Regime correction,4632,21.259827,11.765781,2.8851628
2018-07-11,Overall,Selective trust raw,4632,21.62587,12.143243,3.747705
2018-07-11,Coastal plain,Regime correction,479,20.984684,12.873682,0.6701321
2018-07-11,Coastal plain,Selective trust raw,479,21.370712,13.280875,0.40775818
2018-07-11,Coastal orographic,Regime correction,102,33.628742,22.34758,19.842564
2018-07-11,Coastal orographic,Selective trust raw,102,33.375237,22.42105,19.301777
2018-07-12,Overall,Regime correction,4632,22.977198,13.796712,1.4097991
2018-07-12,Overall,Selective trust raw,4632,23.125456,13.941546,2.3791697
2018-07-12,Coastal plain,Regime correction,479,26.392256,15.474354,5.662681
2018-07-12,Coastal plain,Selective trust raw,479,25.747713,15.079495,4.689587
2018-07-12,Coastal orographic,Regime correction,102,33.885143,24.627237,18.794458
2018-07-12,Coastal orographic,Selective trust raw,102,33.592598,24.419039,18.332748
2018-07-13,Overall,Regime correction,4632,22.688667,13.442869,1.7005801
2018-07-13,Overall,Selective trust raw,4632,22.92152,13.706465,2.5318158
2018-07-13,Coastal plain,Regime correction,479,30.79714,15.618413,7.140351
2018-07-13,Coastal plain,Selective trust raw,479,30.374994,15.439633,6.4004617
2018-07-13,Coastal orographic,Regime correction,102,30.911018,20.31695,7.7571425
2018-07-13,Coastal orographic,Selective trust raw,102,30.552725,20.328924,6.620337
2018-07-14,Overall,Regime correction,4632,17.076138,10.283388,0.03893848
2018-07-14,Overall,Selective trust raw,4632,17.097956,10.419375,0.7341894
2018-07-14,Coastal plain,Regime correction,479,23.149965,12.75709,0.4323898
2018-07-14,Coastal plain,Selective trust raw,479,23.178976,13.074773,0.74515766
2018-07-14,Coastal orographic,Regime correction,102,25.693115,18.24146,11.346582
2018-07-14,Coastal orographic,Selective trust raw,102,24.649632,17.50687,10.100461
2018-07-15,Overall,Regime correction,4632,25.108782,13.99493,5.213071
2018-07-15,Overall,Selective trust raw,4632,25.765486,14.4187565,6.1975713
2018-07-15,Coastal plain,Regime correction,479,36.95199,22.358038,1.507746
2018-07-15,Coastal plain,Selective trust raw,479,37.127007,22.659477,2.94959
2018-07-15,Coastal orographic,Regime correction,102,42.927994,28.959587,4.8112774
2018-07-15,Coastal orographic,Selective trust raw,102,43.129917,29.430033,6.6183276
2018-07-16,Overall,Regime correction,4632,27.16368,15.174975,3.0775936
2018-07-16,Overall,Selective trust raw,4632,27.50179,15.663344,4.238414
