observation_reference,model,samples,RMSE,MAE,Bias,Correlation
IMERG,Raw GEFS,143592,21.707943,12.107442,5.1298847,0.4008139444740823
IMERG,Global correction,143592,20.622631,10.892244,1.7252611,0.38489711467953597
IMERG,Regime correction,143592,20.590908,10.8755245,1.6928489,0.3847136737014687
IMERG,Trust-weighted raw blend,143592,20.838173,11.013048,3.0154243,0.40480011156002477
IMERG,Trust-weighted global blend,143592,20.602678,10.880667,1.706736,0.384954752440262
IMD,Raw GEFS,143592,23.65497,12.808287,5.7441993,0.3273064653945554
IMD,Global correction,143592,22.544863,11.391711,2.3395755,0.31209018416958395
IMD,Regime correction,143592,22.511187,11.370139,2.3071635,0.31206472520203304
IMD,Trust-weighted raw blend,143592,22.918224,11.789889,3.6297388,0.3227199714891204
IMD,Trust-weighted global blend,143592,22.525497,11.378671,2.3210504,0.31212982884392293
