observation_reference,geographic_regime_code,geographic_regime,model,samples,RMSE,MAE,Bias,Correlation
IMERG,0,Interior plain,Raw GEFS,96348,21.937107,12.010302,5.279047,0.3931948573798671
IMERG,1,Coastal plain,Raw GEFS,14849,20.925898,11.784419,0.26542917,0.5131960109664387
IMERG,2,Interior orographic,Raw GEFS,29233,20.72833,12.016469,7.1776466,0.3653416567805333
IMERG,3,Coastal orographic,Raw GEFS,3162,26.596527,17.42538,4.4969354,0.45433006491150824
IMERG,0,Interior plain,Global correction,96348,20.791487,10.841075,1.996136,0.37558106495096233
IMERG,1,Coastal plain,Global correction,14849,20.927794,11.387863,-2.870863,0.4979491037882939
IMERG,2,Interior orographic,Global correction,29233,19.207142,10.223437,3.3208783,0.3502950844986167
IMERG,3,Coastal orographic,Global correction,3162,25.959417,16.307108,0.30367294,0.44669677649091133
IMERG,0,Interior plain,Regime correction,96348,20.752174,10.82011,1.9626591,0.37545642032784765
IMERG,1,Coastal plain,Regime correction,14849,20.914742,11.381653,-2.8985891,0.49777652724179944
IMERG,2,Interior orographic,Regime correction,29233,19.195484,10.216398,3.289302,0.34974914524666684
IMERG,3,Coastal orographic,Regime correction,3162,25.903467,16.280876,0.27396286,0.4474349254854298
IMERG,0,Interior plain,Trust-weighted raw blend,96348,21.022665,10.937885,3.2315474,0.39767740907989224
IMERG,1,Coastal plain,Trust-weighted raw blend,14849,20.739418,11.257546,-1.6230277,0.5123212649980057
IMERG,2,Interior orographic,Trust-weighted raw blend,29233,19.589054,10.528145,4.7546234,0.37209260863072113
IMERG,3,Coastal orographic,Trust-weighted raw blend,3162,26.173445,16.638094,2.1335013,0.44986303335735317
IMERG,0,Interior plain,Trust-weighted global blend,96348,20.76708,10.826884,1.97668,0.375699345075487
IMERG,1,Coastal plain,Trust-weighted global blend,14849,20.91973,11.384162,-2.8843236,0.49789921131532994
IMERG,2,Interior orographic,Trust-weighted global blend,29233,19.197617,10.216569,3.30231,0.3501664856358959
IMERG,3,Coastal orographic,Trust-weighted global blend,3162,25.93087,16.294636,0.29011905,0.44703537531854487
IMD,0,Interior plain,Raw GEFS,96348,23.970228,12.824073,6.587463,0.2785033450201949
IMD,1,Coastal plain,Raw GEFS,14849,23.675402,11.787226,0.009307497,0.5087702985881385
IMD,2,Interior orographic,Raw GEFS,29233,22.18147,12.947683,6.7855654,0.31734779743952307
IMD,3,Coastal orographic,Raw GEFS,3162,26.868927,15.83355,-2.6465807,0.611422257171484
IMD,0,Interior plain,Global correction,96348,22.647953,11.352152,3.3045518,0.26086990608420746
IMD,1,Coastal plain,Global correction,14849,23.793753,11.137243,-3.1269848,0.4972990245906661
IMD,2,Interior orographic,Global correction,29233,20.869349,11.180772,2.9287977,0.30271294639397256
IMD,3,Coastal orographic,Global correction,3162,27.695446,15.742284,-6.8398438,0.6041816562277583
IMD,0,Interior plain,Regime correction,96348,22.602024,11.32389,3.2710752,0.26101745497535195
IMD,1,Coastal plain,Regime correction,14849,23.797832,11.145001,-3.1547108,0.4966517008116004
IMD,2,Interior orographic,Regime correction,29233,20.85454,11.164427,2.8972213,0.3025726869237259
IMD,3,Coastal orographic,Regime correction,3162,27.681421,15.738429,-6.869553,0.6046365588356827
IMD,0,Interior plain,Trust-weighted raw blend,96348,23.119503,11.780209,4.5399637,0.2727803479765932
IMD,1,Coastal plain,Trust-weighted raw blend,14849,23.65476,11.235912,-1.8791494,0.5049899432468773
IMD,2,Interior orographic,Trust-weighted raw blend,29233,21.306181,11.692425,4.3625426,0.31363920642703674
IMD,3,Coastal orographic,Trust-weighted raw blend,3162,27.219498,15.587457,-5.010015,0.6087600403310766
IMD,0,Interior plain,Trust-weighted global blend,96348,22.621906,11.335362,3.2850962,0.26100923684608235
IMD,1,Coastal plain,Trust-weighted global blend,14849,23.795794,11.141748,-3.140445,0.49694955681354686
IMD,2,Interior orographic,Trust-weighted global blend,29233,20.859638,11.169964,2.910229,0.3026942777311305
IMD,3,Coastal orographic,Trust-weighted global blend,3162,27.687922,15.740428,-6.853397,0.6044039946429384
