metric,threshold_mm,neighborhood_cells,value
RMSE,,,21.378555134085538
MAE,,,11.616256803766861
Mean Bias,,,5.954986944982517
Spatial Correlation,,,0.48125722923472064
CSI,64.5,,0.14576802507836992
POD,64.5,,0.34572490706319703
FAR,64.5,,0.7987012987012987
ETS,64.5,,0.13461397026376637
CSI,115.6,,0.04225352112676056
POD,115.6,,0.3
FAR,115.6,,0.953125
ETS,115.6,,0.041109669015799495
FSS,64.5,1.0,0.25409836065573765
FSS,64.5,3.0,0.39950419013230587
FSS,64.5,5.0,0.49933488215235877
FSS,64.5,9.0,0.5834415068303193
FSS,115.6,1.0,0.08108108108108103
FSS,115.6,3.0,0.1609474643182508
FSS,115.6,5.0,0.2170498520373323
FSS,115.6,9.0,0.2603909713077506
